system:index,Abandonmen,Date,GrazingDur,GrazingPre,GrazingTim,LSU,LandUse,Latitude,LitterCove,Longitude,MowingFreq,MowingPres,PLOTID,blue,cs_cdf,doy,evi,green,mask,ndvi,ndvi_asm,ndvi_corr,ndvi_ent,ndvi_texture_sd_3,ndvi_texture_sd_5,nir,re1,re2,re3,red,region,spatial_max,swir1,swir2,system:time_start,.geo
20210117T095341_20210117T095359_T33UXQ_77,0,2021-01-17,210,1,5,36.25,grazed meadow,48.89529,0,17.81145,1,1,NB1,0.7722,0.8509803921568627,16.0,0.13068678915135631,0.7592,1.0,0.028719058260321617,0.00489287190082643,-0.04494795909357989,5.328171176585822,51.49352069810219,182.19629016452706,0.8561000000000001,0.8349000000000001,0.8122,0.7941,0.8083,NB,0.06443181117464805,0.1463,0.1585,1.610877425346E12,"{""type"":""Point"",""coordinates"":[17.811450000000004,48.89529000000001]}"
20210117T095341_20210117T095359_T33UXQ_78,0,2021-01-17,270,1,5,36.25,pasture,48.8858,0.1,17.76126,0,0,NB10,-9999,-9999,16.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.06443181117464805,-9999,-9999,1.610877425346E12,"{""type"":""Point"",""coordinates"":[17.761260000000004,48.88580000000001]}"
20210117T095341_20210117T095359_T33UXQ_79,0,2021-01-17,0,0,0,0,meadow,48.89676,20,17.80877,1,1,NB11,0.508,0.8431372549019608,16.0,0.06973355537052453,0.4887,1.0,0.0196461733430624,0.004828719008264446,0.6731931208571215,5.337780717043586,302.08025804253094,533.8592827340882,0.5216000000000001,0.5513,0.535,0.5219,0.5015000000000001,NB,0.06443181117464805,0.1018,0.1109,1.610877425346E12,"{""type"":""Point"",""coordinates"":[17.808770000000003,48.89676]}"
20210117T095341_20210117T095359_T33UXQ_80,0,2021-01-17,210,1,5,N/A,grazed meadow,48.876139,40,17.815972,1,1,NB12,0.4596,0.7686274509803922,16.0,0.8340130505709635,0.38070000000000004,1.0,-0.06441958993673325,0.004803719008264446,0.8256232971299055,5.341246452946384,792.2209350906066,819.6772686066425,0.29700000000000004,0.2908,0.26480000000000004,0.2487,0.33790000000000003,NB,0.06443181117464805,0.0333,0.033,1.610877425346E12,"{""type"":""Point"",""coordinates"":[17.815972,48.876139]}"
20210117T095341_20210117T095359_T33UXQ_81,0,2021-01-17,0,0,0,0,meadow,48.882944,75,17.798417,1,1,NB13,-9999,-9999,16.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.06443181117464805,-9999,-9999,1.610877425346E12,"{""type"":""Point"",""coordinates"":[17.798417,48.882944]}"
20210117T095341_20210117T095359_T33UXQ_82,0,2021-01-17,0,0,0,0,meadow,48.87407,2,17.78439,1,1,NB14,-9999,-9999,16.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.06443181117464805,-9999,-9999,1.610877425346E12,"{""type"":""Point"",""coordinates"":[17.78439,48.87407]}"
20210117T095341_20210117T095359_T33UXQ_83,0,2021-01-17,0,0,0,0,meadow,48.8983450784,0,17.8097103664,1,1,NB15,0.3815,0.7529411764705882,16.0,0.5157813702848347,0.3002,1.0,-0.0898524820804596,0.004797727272727256,0.3996334941187298,5.342506720547403,78.34545293656177,185.0974353774072,0.2036,0.24080000000000001,0.218,0.2051,0.24380000000000002,NB,0.06443181117464805,0.0252,0.0268,1.610877425346E12,"{""type"":""Point"",""coordinates"":[17.8097103664,48.89834507839999]}"
20210117T095341_20210117T095359_T33UXQ_84,0,2021-01-17,210,1,5,5.5,grazed meadow,48.8945,1,17.795007,1,1,NB16,-9999,-9999,16.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.06443181117464805,-9999,-9999,1.610877425346E12,"{""type"":""Point"",""coordinates"":[17.795006999999995,48.8945]}"
20210117T095341_20210117T095359_T33UXQ_85,0,2021-01-17,182,1,5,5.5,grazed meadow,48.89753,7,17.79583,1,1,NB17,0.2298,0.7529411764705882,16.0,-0.26728788621873456,0.17550000000000002,1.0,-0.08740978688001633,0.0049583340144530585,0.7083424543276737,5.308926082978139,452.7423192760685,710.4586568581473,0.11380000000000001,0.1282,0.11380000000000001,0.1027,0.1356,NB,0.06443181117464805,0.0134,0.0128,1.610877425346E12,"{""type"":""Point"",""coordinates"":[17.79583,48.89753]}"
20210117T095341_20210117T095359_T33UXQ_86,0,2021-01-17,112,1,3,6.5,grazed meadow,48.89643,1,17.79541,1,1,NB18,-9999,-9999,16.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.06443181117464805,-9999,-9999,1.610877425346E12,"{""type"":""Point"",""coordinates"":[17.795410000000004,48.89643]}"
