system:index,Abandonmen,Date,GrazingDur,GrazingPre,GrazingTim,LSU,LandUse,Latitude,LitterCove,Longitude,MowingFreq,MowingPres,PLOTID,blue,cs_cdf,doy,evi,green,mask,ndvi,ndvi_asm,ndvi_corr,ndvi_ent,ndvi_texture_sd_3,ndvi_texture_sd_5,nir,re1,re2,re3,red,region,spatial_max,swir1,swir2,system:time_start,.geo
20210117T095341_20210117T095359_T33UYQ_0,0,2021-01-17,3,1,3,80,grazed meadow,48.94565,0,19.22955,1,1,LR1,-9999,-9999,16.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,LR,0.08979256892389403,-9999,-9999,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.229550000000003,48.94565]}"
20210117T095341_20210117T095359_T33UYQ_1,1,2021-01-17,0,0,2,0,abandoned,48.88742,100,19.08338,0,0,LR10,0.8400000000000001,0.807843137254902,16.0,-0.3250934773577074,0.8039000000000001,1.0,-0.020055104047060013,0.004928719008264445,0.3360208792884799,5.323917773432386,55.88439307553652,61.57119417987171,0.7647,0.7858,0.7738,0.743,0.796,LR,0.08979256892389403,0.1257,0.1395,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.08338,48.88742]}"
20210117T095341_20210117T095359_T33UYQ_2,0,2021-01-17,56,1,13,N/A,pasture,48.92675,10,19.22481,0,0,LR100,0.47290000000000004,0.8274509803921568,16.0,0.18535811000093386,0.375,1.0,-0.07267069071531296,0.004772727272727256,0.6288625881522628,5.345972456450203,678.1667696298879,1154.0152672620802,0.2533,0.29510000000000003,0.2863,0.2652,0.29300000000000004,LR,0.08979256892389403,0.0196,0.0229,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.22481,48.92675]}"
20210117T095341_20210117T095359_T33UYQ_3,0,2021-01-17,56,1,13,N/A,pasture,48.92581,4,19.20623,0,0,LR101,0.6728000000000001,0.8588235294117647,16.0,0.14534012586155196,0.5886,1.0,-0.01853267103433609,0.004772727272727256,0.6448743003515734,5.345972456450203,640.3308384529719,958.0118974073719,0.5137,0.4898,0.5,0.4682,0.5331,LR,0.08979256892389403,0.078,0.0834,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.20623,48.92581]}"
20210117T095341_20210117T095359_T33UYQ_4,0,2021-01-17,56,1,13,N/A,pasture,48.93627,5,19.21818,0,0,LR102,0.6328,0.8509803921568627,16.0,0.23530401615436386,0.6376000000000001,1.0,0.0605819933116436,0.004785227272727255,0.8555349067244615,5.344239588498803,1040.480327118378,1008.6460625931812,0.7344,0.5467000000000001,0.5984,0.6091,0.6505000000000001,LR,0.08979256892389403,0.12560000000000002,0.13140000000000002,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.218180000000004,48.93626999999999]}"
20210117T095341_20210117T095359_T33UYQ_5,0,2021-01-17,56,1,13,N/A,grazed meadow,48.92966,1,19.21388,1,1,LR105,-9999,-9999,16.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,LR,0.08979256892389403,-9999,-9999,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.21388,48.92966]}"
20210117T095341_20210117T095359_T33UYQ_6,0,2021-01-17,189,1,5,1,pasture,48.9317719,1,19.2099917,0,0,LR106,-9999,-9999,16.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,LR,0.08979256892389403,-9999,-9999,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.2099917,48.9317719]}"
20210117T095341_20210117T095359_T33UYQ_7,0,2021-01-17,91,1,2,99,mulched grazed meadow,48.89483,1,19.08648,0,0,LR12,0.9039,0.8196078431372549,16.0,-0.030537681317482482,0.888,1.0,-0.003149252152070403,0.004882541322314033,0.22271066956989172,5.3297465110870945,73.44191096175456,83.63284463246612,0.8863000000000001,1.0162,0.9758,0.9380000000000001,0.8919,LR,0.08979256892389403,0.1942,0.2094,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.086479999999998,48.89483]}"
20210117T095341_20210117T095359_T33UYQ_8,1,2021-01-17,0,0,2,0,abandoned,48.88992,80,19.08807,0,0,LR13,0.7404000000000001,0.8235294117647058,16.0,0.281564678543764,0.6195,1.0,-0.06829497218132019,0.004810227272727256,0.7156934150116093,5.340773852596003,171.68526457096957,222.6241669382239,0.4959,0.5641,0.55,0.527,0.5686,LR,0.08979256892389403,0.0618,0.07250000000000001,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.08807,48.88991999999998]}"
20210117T095341_20210117T095359_T33UYQ_9,0,2021-01-17,91,1,2,99,mulched grazed meadow,48.89742,8,19.08623,0,0,LR14,-9999,-9999,16.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,LR,0.08979256892389403,-9999,-9999,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.08623,48.89741999999999]}"
20210117T095341_20210117T095359_T33UYQ_10,0,2021-01-17,70,1,13,110,pasture,48.93328,18,19.17838,0,0,LR15,1.1521000000000001,0.8705882352941177,16.0,0.0012510947078692497,1.1343,1.0,8.705493382876739E-5,0.004810227272727256,0.23233378142833688,5.340773852596003,85.584985078987,250.64494447464395,1.1488,1.1357000000000002,1.1129,1.0691000000000002,1.1486,LR,0.08979256892389403,0.2199,0.2394,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.17838,48.93328]}"
20210117T095341_20210117T095359_T33UYQ_11,0,2021-01-17,70,1,13,60,grazed meadow,48.93145,0,19.17819,1,1,LR16,1.0248000000000002,0.8509803921568627,16.0,0.052208835341365264,1.012,1.0,0.005048543680459261,0.004992355371900811,0.1324800360018783,5.316671234726532,24.32252398178791,41.46315996537886,1.0352000000000001,1.0413000000000001,1.0117,0.9729000000000001,1.0248000000000002,LR,0.08979256892389403,0.2063,0.22690000000000002,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.17819,48.93145]}"
20210117T095341_20210117T095359_T33UYQ_12,0,2021-01-17,70,1,13,60,grazed meadow,48.92775,0,19.17735,1,1,LR17,1.1153,0.8862745098039215,16.0,0.1641600314558134,1.0847,1.0,0.014691650867462158,0.0048162190082644465,0.5723277519243843,5.339513584994985,204.263245721511,204.44610727023473,1.1534,1.0456,1.0367,0.9835,1.12,LR,0.08979256892389403,0.2026,0.22240000000000001,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.177350000000004,48.92775]}"
20210117T095341_20210117T095359_T33UYQ_13,0,2021-01-17,63,1,2,15,pasture,48.87797,10,19.08962,0,0,LR18,1.0104,0.8470588235294118,16.0,-0.5078929306794756,0.9512,1.0,-0.030826911330223083,0.004785227272727255,0.5406396015178164,5.344239588498803,146.2471933611519,155.7034075528122,0.9306000000000001,0.9266000000000001,0.9114000000000001,0.8886000000000001,0.9898,LR,0.08979256892389403,0.08600000000000001,0.1076,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.089619999999996,48.877970000000005]}"
20210117T095341_20210117T095359_T33UYQ_14,0,2021-01-17,N/A,1,13,N/A,grazed meadow,48.93456,0,19.184653,1,1,LR19,1.1407,0.8470588235294118,16.0,0.07640835518582098,1.1359000000000001,1.0,0.0072572678327560425,0.0049140495867768435,0.2313012916786172,5.325808174833913,30.600473927398973,35.464132091197435,1.1728,1.1729,1.1463,1.1083,1.1559000000000001,LR,0.08979256892389403,0.22340000000000002,0.24500000000000002,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.184653,48.934560000000005]}"
20210117T095341_20210117T095359_T33UYQ_15,0,2021-01-17,91,1,2,80,pasture,48.962678,55,19.186086,0,0,LR2,1.0838,0.8313725490196079,16.0,0.06090487238979124,1.0695000000000001,1.0,0.0029785826336592436,0.004865702479338827,-0.009617925195894925,5.333755914614557,145.96812338508968,133.2544710201302,1.0607,1.0413000000000001,1.0615,1.0215,1.0544,LR,0.08979256892389403,0.2097,0.2296,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.186086,48.962678]}"
20210117T095341_20210117T095359_T33UYQ_16,1,2021-01-17,0,0,2,0,abandoned,48.87515,90,19.08385,0,0,LR20,0.6907,0.8156862745098039,16.0,0.5180146509194206,0.5991000000000001,1.0,-0.06604403257369995,0.004808057851239653,0.7118117949594264,5.3409313860461305,272.8908028022579,268.5816444211415,0.49000000000000005,0.5357000000000001,0.5124000000000001,0.48550000000000004,0.5593,LR,0.08979256892389403,0.0723,0.08660000000000001,1.61087742209E12,"{""type"":""Point"",""coordinates"":[19.08385,48.87515]}"
