system:index,Abandonmen,Date,GrazingDur,GrazingPre,GrazingTim,LSU,LandUse,Latitude,LitterCove,Longitude,MowingFreq,MowingPres,PLOTID,blue,cs_cdf,doy,evi,green,mask,ndvi,ndvi_asm,ndvi_corr,ndvi_ent,ndvi_texture_sd_3,ndvi_texture_sd_5,nir,re1,re2,re3,red,region,spatial_max,swir1,swir2,system:time_start,.geo
20220102T095411_20220102T095409_T33UYQ_0,0,2022-01-02,3,1,3,80,grazed meadow,48.94565,0,19.22955,1,1,LR1,-9999,-9999,1.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,LR,0.5429997379249997,-9999,-9999,1.641117422939E12,"{""type"":""Point"",""coordinates"":[19.229550000000003,48.94565]}"
20220102T095411_20220102T095409_T33UYQ_1,1,2022-01-02,0,0,2,0,abandoned,48.88742,100,19.08338,0,0,LR10,0.2272,0.9098039215686274,1.0,0.11142915559190349,0.2792,1.0,0.10603112727403641,0.004797727272727256,0.8628056596925135,5.342506720547403,578.673917424317,774.5204881815174,0.45480000000000004,0.3911,0.4113,0.4289,0.36760000000000004,LR,0.5429997379249997,0.23020000000000002,0.162,1.641117422939E12,"{""type"":""Point"",""coordinates"":[19.08338,48.88742]}"
20220102T095411_20220102T095409_T33UYQ_2,0,2022-01-02,56,1,13,N/A,pasture,48.92675,10,19.22481,0,0,LR100,-9999,-9999,1.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,LR,0.5429997379249997,-9999,-9999,1.641117422939E12,"{""type"":""Point"",""coordinates"":[19.22481,48.92675]}"
20220102T095411_20220102T095409_T33UYQ_3,0,2022-01-02,56,1,13,N/A,pasture,48.92581,4,19.20623,0,0,LR101,-9999,-9999,1.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,LR,0.5429997379249997,-9999,-9999,1.641117422939E12,"{""type"":""Point"",""coordinates"":[19.20623,48.92581]}"
20220102T095411_20220102T095409_T33UYQ_4,0,2022-01-02,56,1,13,N/A,pasture,48.93627,5,19.21818,0,0,LR102,-9999,-9999,1.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,LR,0.5429997379249997,-9999,-9999,1.641117422939E12,"{""type"":""Point"",""coordinates"":[19.218180000000004,48.93626999999999]}"
20220102T095411_20220102T095409_T33UYQ_5,0,2022-01-02,56,1,13,N/A,grazed meadow,48.92966,1,19.21388,1,1,LR105,-9999,-9999,1.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,LR,0.5429997379249997,-9999,-9999,1.641117422939E12,"{""type"":""Point"",""coordinates"":[19.21388,48.92966]}"
20220102T095411_20220102T095409_T33UYQ_6,0,2022-01-02,189,1,5,1,pasture,48.9317719,1,19.2099917,0,0,LR106,-9999,-9999,1.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,LR,0.5429997379249997,-9999,-9999,1.641117422939E12,"{""type"":""Point"",""coordinates"":[19.2099917,48.9317719]}"
20220102T095411_20220102T095409_T33UYQ_7,0,2022-01-02,91,1,2,99,mulched grazed meadow,48.89483,1,19.08648,0,0,LR12,0.8312,0.9137254901960784,1.0,-0.4150352388410331,0.8488,1.0,-0.05364372581243515,0.004828719008264446,0.5720359896725765,5.337780717043585,163.8981891597013,274.7871943625522,0.748,0.9562,0.8973000000000001,0.8605,0.8328,LR,0.5429997379249997,0.054200000000000005,0.0505,1.641117422939E12,"{""type"":""Point"",""coordinates"":[19.086479999999998,48.89483]}"
20220102T095411_20220102T095409_T33UYQ_8,1,2022-01-02,0,0,2,0,abandoned,48.88992,80,19.08807,0,0,LR13,0.8052,0.8862745098039215,1.0,-49.00000000002703,0.7568,1.0,-0.01374474074691534,0.004783057851239652,0.5320635550080066,5.34439712194893,156.24315195322393,230.23821922752222,0.7032,0.7465,0.7301000000000001,0.7196,0.7228,LR,0.5429997379249997,0.12000000000000001,0.12100000000000001,1.641117422939E12,"{""type"":""Point"",""coordinates"":[19.08807,48.88991999999998]}"
20220102T095411_20220102T095409_T33UYQ_9,0,2022-01-02,91,1,2,99,mulched grazed meadow,48.89742,8,19.08623,0,0,LR14,1.2248,0.9058823529411765,1.0,-326.666666666944,1.2128,1.0,-0.07040230184793472,0.005034710743801637,0.30901582506282127,5.30879456222017,33.98459851574777,39.86141212706662,1.0352000000000001,1.2301,1.1411,1.0541,1.192,LR,0.5429997379249997,0.040400000000000005,0.0368,1.641117422939E12,"{""type"":""Point"",""coordinates"":[19.08623,48.89741999999999]}"
