system:index,Abandonmen,Date,GrazingDur,GrazingPre,GrazingTim,LSU,LandUse,Latitude,LitterCove,Longitude,MowingFreq,MowingPres,PLOTID,blue,cs_cdf,doy,evi,green,mask,ndvi,ndvi_asm,ndvi_corr,ndvi_ent,ndvi_texture_sd_3,ndvi_texture_sd_5,nir,re1,re2,re3,red,region,spatial_max,swir1,swir2,system:time_start,.geo
20230112T095249_20230112T095252_T33UXQ_77,0,2023-01-12,210,1,5,36.25,grazed meadow,48.89529,0,17.81145,1,1,NB1,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.811450000000004,48.89529000000001]}"
20230112T095249_20230112T095252_T33UXQ_78,0,2023-01-12,270,1,5,36.25,pasture,48.8858,0.1,17.76126,0,0,NB10,0.060000000000000005,0.8,11.0,0.34296307739842424,0.0752,1.0,0.5229681730270386,0.004808057851239653,0.7913214451712473,5.3409313860461305,410.4034199382895,519.0882326401612,0.2586,0.1447,0.2139,0.23650000000000002,0.081,NB,0.6581677866132953,0.23340000000000002,0.1484,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.761260000000004,48.88580000000001]}"
20230112T095249_20230112T095252_T33UXQ_79,0,2023-01-12,0,0,0,0,meadow,48.89676,20,17.80877,1,1,NB11,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.808770000000003,48.89676]}"
20230112T095249_20230112T095252_T33UXQ_80,0,2023-01-12,210,1,5,N/A,grazed meadow,48.876139,40,17.815972,1,1,NB12,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.815972,48.876139]}"
20230112T095249_20230112T095252_T33UXQ_81,0,2023-01-12,0,0,0,0,meadow,48.882944,75,17.798417,1,1,NB13,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.798417,48.882944]}"
20230112T095249_20230112T095252_T33UXQ_82,0,2023-01-12,0,0,0,0,meadow,48.87407,2,17.78439,1,1,NB14,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.78439,48.87407]}"
20230112T095249_20230112T095252_T33UXQ_83,0,2023-01-12,0,0,0,0,meadow,48.8983450784,0,17.8097103664,1,1,NB15,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.8097103664,48.89834507839999]}"
20230112T095249_20230112T095252_T33UXQ_84,0,2023-01-12,210,1,5,5.5,grazed meadow,48.8945,1,17.795007,1,1,NB16,0.094,0.8274509803921568,11.0,0.449209391471011,0.1192,1.0,0.5181943774223328,0.004795557851239652,0.8675980063987769,5.342664253997531,725.2612948833647,974.3727036914901,0.3296,0.1636,0.27080000000000004,0.2894,0.1046,NB,0.6581677866132953,0.2127,0.1444,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.795006999999995,48.8945]}"
20230112T095249_20230112T095252_T33UXQ_85,0,2023-01-12,182,1,5,5.5,grazed meadow,48.89753,7,17.79583,1,1,NB17,0.0514,0.8549019607843137,11.0,0.19043562910683862,0.060200000000000004,1.0,0.3853098154067993,0.004818388429752049,0.7757178933538913,5.339356051544858,362.5644867887397,546.0946221893482,0.1688,0.0847,0.112,0.12290000000000001,0.07490000000000001,NB,0.6581677866132953,0.15030000000000002,0.1005,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.79583,48.89753]}"
20230112T095249_20230112T095252_T33UXQ_86,0,2023-01-12,112,1,3,6.5,grazed meadow,48.89643,1,17.79541,1,1,NB18,0.0562,0.8588235294117647,11.0,0.4085468213998978,0.08020000000000001,1.0,0.5799015760421753,0.004772727272727256,0.6842197458272111,5.345972456450203,466.934263036564,660.4344668429966,0.305,0.12990000000000002,0.2142,0.24100000000000002,0.0811,NB,0.6581677866132953,0.202,0.12660000000000002,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.795410000000004,48.89643]}"
20230112T095249_20230112T095252_T33UXQ_87,0,2023-01-12,0,0,0,6.5,meadow,48.89492,2,17.80124,1,1,NB19,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.801240000000004,48.89492]}"
20230112T095249_20230112T095252_T33UXQ_88,0,2023-01-12,210,1,5,35.6,pasture,48.89351,2,17.80211,0,0,NB2,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.80211,48.89351]}"
20230112T095249_20230112T095252_T33UXQ_89,0,2023-01-12,182,1,5,35.6,grazed meadow,48.889437,10,17.778662,1,1,NB21,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.778661999999997,48.889437]}"
20230112T095249_20230112T095252_T33UXQ_90,0,2023-01-12,0,0,0,0,mulched meadow,48.88669,70,17.778662,1,1,NB22,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.778661999999997,48.88669]}"
20230112T095249_20230112T095252_T33UXQ_91,0,2023-01-12,63,1,2,35.6,pasture,48.89017,0,17.80125,0,0,NB23,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.80125,48.89017]}"
20230112T095249_20230112T095252_T33UXQ_92,0,2023-01-12,0,0,0,0,meadow,48.8935448585,0.5,17.8136142134,1,1,NB24,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.813614213399998,48.8935448585]}"
20230112T095249_20230112T095252_T33UXQ_93,0,2023-01-12,0,0,0,0,meadow,48.8891,3,17.8112,3,1,NB25,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.811199999999996,48.88909999999999]}"
20230112T095249_20230112T095252_T33UXQ_94,0,2023-01-12,168,1,5,36.25,pasture,48.9015982971,25,17.8169634912,0,0,NB26,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.8169634912,48.9015982971]}"
20230112T095249_20230112T095252_T33UXQ_95,0,2023-01-12,0,0,0,0,meadow,48.9035941812,47,17.8136728945,1,1,NB27,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.8136728945,48.9035941812]}"
20230112T095249_20230112T095252_T33UXQ_96,0,2023-01-12,154,1,23,5.5,grazed meadow,48.8969,0.5,17.7915,1,1,NB28,0.0316,0.8666666666666667,11.0,0.34850956547530776,0.0592,1.0,0.6233421564102173,0.004783057851239652,0.5767265335516707,5.34439712194893,412.33934359624794,381.62606039061865,0.24480000000000002,0.1105,0.18630000000000002,0.2121,0.0568,NB,0.6581677866132953,0.16540000000000002,0.09190000000000001,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.7915,48.8969]}"
20230112T095249_20230112T095252_T33UXQ_97,0,2023-01-12,154,1,23,5.5,grazed meadow,48.89533,3,17.7962,1,1,NB29,0.053700000000000005,0.7725490196078432,11.0,0.17327062164440693,0.057600000000000005,1.0,0.3771125078201294,0.006491719975473353,0.7156830537018358,5.038725062228082,409.1679387996849,472.57593220200897,0.1426,0.0838,0.114,0.1278,0.0645,NB,0.6581677866132953,0.1241,0.08320000000000001,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.7962,48.89533000000001]}"
20230112T095249_20230112T095252_T33UXQ_98,0,2023-01-12,182,1,5,5.5,grazed meadow,48.89499,10,17.79804,1,1,NB30,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.798040000000004,48.89499]}"
20230112T095249_20230112T095252_T33UXQ_99,0,2023-01-12,0,0,0,0,meadow,48.882472,55,17.797972,1,1,NB31,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.797972,48.88247200000001]}"
20230112T095249_20230112T095252_T33UXQ_100,0,2023-01-12,0,0,0,0,meadow,48.871639,50,17.813917,1,1,NB32,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.813917000000004,48.87163900000001]}"
20230112T095249_20230112T095252_T33UXQ_101,0,2023-01-12,0,1,0,0,meadow,48.893444,98,17.794472,1,1,NB33,0.0678,0.8,11.0,0.2817311134980308,0.0833,1.0,0.46855229139328003,0.004772727272727256,0.6612317367633627,5.345972456450203,491.387947503909,697.7800925635781,0.1973,0.1003,0.15410000000000001,0.1686,0.0714,NB,0.6581677866132953,0.1242,0.0814,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.794471999999995,48.893444]}"
20230112T095249_20230112T095252_T33UXQ_102,1,2023-01-12,0,0,0,0,abandoned,48.882722,80,17.8035,0,0,NB35,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.8035,48.88272200000001]}"
20230112T095249_20230112T095252_T33UXQ_103,0,2023-01-12,270,1,5,36.25,pasture,48.889028,2,17.7715,0,0,NB38,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.7715,48.88902800000001]}"
20230112T095249_20230112T095252_T33UXQ_104,0,2023-01-12,196,1,5,2.0,grazed meadow,48.892263,5,17.803435,1,1,NB39,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.803435,48.89226300000001]}"
20230112T095249_20230112T095252_T33UXQ_105,0,2023-01-12,270,1,5,1.0,grazed meadow,48.875973,3,17.81422,1,1,NB40,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.81422,48.87597300000001]}"
20230112T095249_20230112T095252_T33UXQ_106,0,2023-01-12,0,0,0,0,meadow,48.897033,4,17.757667,1,1,NB41,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.757667,48.89703300000001]}"
20230112T095249_20230112T095252_T33UXQ_107,0,2023-01-12,0,0,0,0,mulched meadow,48.908472,15,17.81875,1,1,NB42,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.81875,48.908471999999996]}"
20230112T095249_20230112T095252_T33UXQ_108,0,2023-01-12,0,0,0,0,meadow,48.8805,3,17.78625,1,1,NB43,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.78625,48.8805]}"
20230112T095249_20230112T095252_T33UXQ_109,0,2023-01-12,210,1,5,37.25,grazed meadow,48.881167,3,17.762,1,1,NB44,0.0728,0.8,11.0,0.30871585468882007,0.0954,1.0,0.436970591545105,0.004797727272727256,0.28043396408540616,5.342506720547403,224.81711943896784,290.06964111091474,0.2884,0.164,0.2199,0.24780000000000002,0.113,NB,0.6581677866132953,0.2549,0.1658,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.762,48.881167]}"
20230112T095249_20230112T095252_T33UXQ_110,0,2023-01-12,0,0,0,0,meadow,48.903882,1,17.792327,1,1,NB45,0.051000000000000004,0.8666666666666667,11.0,0.32139889719767356,0.07200000000000001,1.0,0.5262832641601562,0.004797727272727256,0.502007677947109,5.342506720547403,279.7520738508013,349.29524154698447,0.24680000000000002,0.13140000000000002,0.2187,0.2426,0.0766,NB,0.6581677866132953,0.2096,0.1255,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.792326999999993,48.903882]}"
20230112T095249_20230112T095252_T33UXQ_111,0,2023-01-12,N/A,1,N/A,37.25,mulched grazed meadow,48.878278,0,17.774556,1,1,NB46,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.774556,48.878278]}"
20230112T095249_20230112T095252_T33UXQ_112,0,2023-01-12,196,1,5,0.6,grazed meadow,48.880583,4,17.795139,1,1,NB47,-9999,-9999,11.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NB,0.6581677866132953,-9999,-9999,1.673517419883E12,"{""type"":""Point"",""coordinates"":[17.795139,48.880583]}"
