system:index,Abandonmen,Date,GrazingDur,GrazingPre,GrazingTim,LSU,LandUse,Latitude,LitterCove,Longitude,MowingFreq,MowingPres,PLOTID,blue,cs_cdf,doy,evi,green,mask,ndvi,ndvi_asm,ndvi_corr,ndvi_ent,ndvi_texture_sd_3,ndvi_texture_sd_5,nir,re1,re2,re3,red,region,spatial_max,swir1,swir2,system:time_start,.geo
20220102T095411_20220102T095409_T33UXQ_87,0,2022-01-02,0,0,0,6.5,meadow,48.89492,2,17.80124,1,1,NB19,1.0E-4,0.8823529411764706,1.0,0.16086842793617578,0.025,1.0,0.5439040064811707,0.004785227272727255,0.5039172882026985,5.344239588498803,599.2001895349268,574.8473041833244,0.1222,0.0594,0.08710000000000001,0.1048,0.0361,NB,0.6911841428132431,0.1183,0.07150000000000001,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.801240000000004,48.89492]}"
20220102T095411_20220102T095409_T33UXQ_88,0,2022-01-02,210,1,5,35.6,pasture,48.89351,2,17.80211,0,0,NB2,0.0054,0.8823529411764706,1.0,0.14278363776691538,0.0035,1.0,0.6247654557228088,0.004772727272727256,0.5480714639369471,5.345972456450203,743.862325646937,823.814353353808,0.08660000000000001,0.0512,0.07590000000000001,0.0876,0.02,NB,0.6911841428132431,0.1192,0.0668,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.80211,48.89351]}"
20220102T095411_20220102T095409_T33UXQ_89,0,2022-01-02,182,1,5,35.6,grazed meadow,48.889437,10,17.778662,1,1,NB21,0.0597,0.8862745098039215,1.0,0.2565014378923281,0.0995,1.0,0.3924769461154938,0.004772727272727256,0.8068457754096799,5.345972456450203,331.11721828515346,498.79388412747727,0.2943,0.1899,0.24600000000000002,0.2676,0.12840000000000001,NB,0.6911841428132431,0.2805,0.1704,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.778661999999997,48.889437]}"
20220102T095411_20220102T095409_T33UXQ_90,0,2022-01-02,0,0,0,0,mulched meadow,48.88669,70,17.778662,1,1,NB22,0.0085,0.8941176470588236,1.0,0.4176647211632536,0.0585,1.0,0.7439903616905212,0.004803719008264446,0.6686743446917504,5.341246452946384,1224.9167935770195,1294.0122561275316,0.2902,0.1086,0.2205,0.2451,0.0426,NB,0.6911841428132431,0.1842,0.1075,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.778661999999997,48.88669]}"
20220102T095411_20220102T095409_T33UXQ_91,0,2022-01-02,63,1,2,35.6,pasture,48.89017,0,17.80125,0,0,NB23,0.040100000000000004,0.8823529411764706,1.0,0.25760428019419396,0.07100000000000001,1.0,0.45322486758232117,0.004772727272727256,0.7468239483675707,5.345972456450203,450.6169818221884,521.4945312633274,0.2501,0.1479,0.2026,0.2223,0.0941,NB,0.6911841428132431,0.2296,0.1396,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.80125,48.89017]}"
20220102T095411_20220102T095409_T33UXQ_92,0,2022-01-02,0,0,0,0,meadow,48.8935448585,0.5,17.8136142134,1,1,NB24,1.0E-4,0.8627450980392157,1.0,0.06862192141379958,0.0317,1.0,0.30290457606315613,0.004783057851239652,0.7819826342420886,5.34439712194893,846.0066781406396,1023.7526225327153,0.0785,0.07390000000000001,0.1052,0.1078,0.042,NB,0.6911841428132431,0.1231,0.08700000000000001,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.813614213399998,48.8935448585]}"
20220102T095411_20220102T095409_T33UXQ_93,0,2022-01-02,0,0,0,0,meadow,48.8891,3,17.8112,3,1,NB25,0.0279,0.8745098039215686,1.0,0.2864985109970938,0.0538,1.0,0.5578064918518066,0.004783057851239652,0.6746653399942755,5.34439712194893,324.22016650445875,736.5427548332985,0.223,0.12480000000000001,0.1968,0.2134,0.06330000000000001,NB,0.6911841428132431,0.16090000000000002,0.0937,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.811199999999996,48.88909999999999]}"
20220102T095411_20220102T095409_T33UXQ_94,0,2022-01-02,168,1,5,36.25,pasture,48.9015982971,25,17.8169634912,0,0,NB26,0.046200000000000005,0.8745098039215686,1.0,0.40798558074173646,0.0925,1.0,0.5662497282028198,0.004793388429752049,0.6775387686908471,5.342821787447657,247.95699167587793,843.2456735122571,0.3694,0.2088,0.3033,0.3252,0.1023,NB,0.6911841428132431,0.2509,0.13970000000000002,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.8169634912,48.9015982971]}"
20220102T095411_20220102T095409_T33UXQ_95,0,2022-01-02,0,0,0,0,meadow,48.9035941812,47,17.8136728945,1,1,NB27,0.062400000000000004,0.8745098039215686,1.0,0.185003274394237,0.1106,1.0,0.28949615359306335,0.004808057851239653,0.5274789590726768,5.3409313860461305,374.7014593959695,526.5654173225142,0.302,0.20120000000000002,0.2504,0.2546,0.16640000000000002,NB,0.6911841428132431,0.2982,0.20140000000000002,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.8136728945,48.9035941812]}"
20220102T095411_20220102T095409_T33UXQ_96,0,2022-01-02,154,1,23,5.5,grazed meadow,48.8969,0.5,17.7915,1,1,NB28,0.0083,0.8588235294117647,1.0,0.20512169465704236,0.0362,1.0,0.5471698045730591,0.004795557851239652,0.6370932728456451,5.342664253997531,652.1272543390055,762.4865215284806,0.15990000000000001,0.0857,0.12760000000000002,0.13720000000000002,0.0468,NB,0.6911841428132431,0.14750000000000002,0.0844,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.7915,48.8969]}"
